,FECHA,NUM_PERS_IMPLS
654,2010-01-28 06:00:00,2
655,2010-01-28 07:00:00,3
656,2010-01-28 08:00:00,0
657,2010-01-28 09:00:00,3
658,2010-01-28 10:00:00,3
659,2010-01-28 11:00:00,2
660,2010-01-28 12:00:00,5
661,2010-01-28 13:00:00,4
662,2010-01-28 14:00:00,4
663,2010-01-28 15:00:00,2
664,2010-01-28 16:00:00,0
665,2010-01-28 17:00:00,2
666,2010-01-28 18:00:00,0
667,2010-01-28 19:00:00,3
668,2010-01-28 20:00:00,8
669,2010-01-28 21:00:00,5
670,2010-01-28 22:00:00,0
671,2010-01-28 23:00:00,6
672,2010-01-29 00:00:00,0
673,2010-01-29 01:00:00,4
674,2010-01-29 02:00:00,0
675,2010-01-29 03:00:00,3
676,2010-01-29 04:00:00,7
677,2010-01-29 05:00:00,0
678,2010-01-29 06:00:00,4
679,2010-01-29 07:00:00,2
680,2010-01-29 08:00:00,0
681,2010-01-29 09:00:00,9
682,2010-01-29 10:00:00,0
683,2010-01-29 11:00:00,2
684,2010-01-29 12:00:00,2
685,2010-01-29 13:00:00,11
686,2010-01-29 14:00:00,2
687,2010-01-29 15:00:00,0
688,2010-01-29 16:00:00,10
689,2010-01-29 17:00:00,9
690,2010-01-29 18:00:00,3
691,2010-01-29 19:00:00,0
692,2010-01-29 20:00:00,6
693,2010-01-29 21:00:00,14
694,2010-01-29 22:00:00,2
695,2010-01-29 23:00:00,0
696,2010-01-30 00:00:00,0
697,2010-01-30 01:00:00,0
698,2010-01-30 02:00:00,0
699,2010-01-30 03:00:00,4
700,2010-01-30 04:00:00,1
701,2010-01-30 05:00:00,0
702,2010-01-30 06:00:00,3
703,2010-01-30 07:00:00,0
704,2010-01-30 08:00:00,0
705,2010-01-30 09:00:00,0
706,2010-01-30 10:00:00,9
707,2010-01-30 11:00:00,5
708,2010-01-30 12:00:00,3
709,2010-01-30 13:00:00,9
710,2010-01-30 14:00:00,2
711,2010-01-30 15:00:00,4
712,2010-01-30 16:00:00,11
713,2010-01-30 17:00:00,0
714,2010-01-30 18:00:00,3
715,2010-01-30 19:00:00,0
716,2010-01-30 20:00:00,5
717,2010-01-30 21:00:00,14
718,2010-01-30 22:00:00,2
719,2010-01-30 23:00:00,5
720,2010-01-31 00:00:00,2
721,2010-01-31 01:00:00,0
722,2010-01-31 02:00:00,3
723,2010-01-31 03:00:00,0
724,2010-01-31 04:00:00,0
725,2010-01-31 05:00:00,0
726,2010-01-31 06:00:00,0
727,2010-01-31 07:00:00,2
728,2010-01-31 08:00:00,0
729,2010-01-31 09:00:00,0
730,2010-01-31 10:00:00,3
731,2010-01-31 11:00:00,0
732,2010-01-31 12:00:00,0
733,2010-01-31 13:00:00,0
734,2010-01-31 14:00:00,0
735,2010-01-31 15:00:00,7
736,2010-01-31 16:00:00,3
737,2010-01-31 17:00:00,2
738,2010-01-31 18:00:00,0
739,2010-01-31 19:00:00,4
740,2010-01-31 20:00:00,0
741,2010-01-31 21:00:00,0
742,2010-01-31 22:00:00,0
743,2010-01-31 23:00:00,0
